name,url,duration,description,test_type,remote_testing,adaptive_irt
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,N/A,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.","A, E, B, C, D, P",Yes,No
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,30 minutes,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.",K,Yes,Yes
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,17 minutes,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",K,Yes,No
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,5 minutes,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",K,Yes,No
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,11 minutes,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",K,Yes,No
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,9 minutes,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.",K,Yes,No
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,5 minutes,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",K,Yes,No
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,9 minutes,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",K,Yes,No
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,8 minutes,Simulated data entry test that measures the ability to process payables and vendor invoices.,S,Yes,No
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,13 minutes,Multiple-choice test that measures the knowledge of processing receivables and invoices.,K,Yes,No
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,8 minutes,Simulated data entry test that measures the ability to process receivables and invoices.,S,Yes,No
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,10 minutes,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",K,Yes,No
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,17 minutes,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.",K,Yes,No
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,20 minutes,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.",K,Yes,Yes
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,10 minutes,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.",K,Yes,No
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,10 minutes,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.",K,Yes,No
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,7 minutes,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.",K,Yes,No
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,13 minutes,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.",K,Yes,No
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,16 minutes,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,P,Yes,No
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,6 minutes,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.",K,Yes,No
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,7 minutes,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.",K,Yes,No
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,11 minutes,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.",K,Yes,No
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,9 minutes,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.",K,Yes,No
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,7 minutes,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.",K,Yes,No
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,9 minutes,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.",K,Yes,No
